iter	Passed	Remaining
413	3351	4743
414	3359	4735
415	3369	4730
416	3378	4723
417	3387	4716
418	3400	4715
419	3409	4708
420	3422	4707
421	3432	4701
422	3441	4694
423	3451	4689
424	3460	4682
425	3471	4677
426	3482	4672
427	3491	4666
428	3507	4668
429	3516	4661
430	3524	4653
431	3533	4646
432	3543	4639
433	3551	4632
434	3560	4623
435	3569	4617
436	3578	4610
437	3588	4605
438	3599	4599
439	3610	4595
440	3622	4592
441	3631	4584
442	3640	4577
443	3650	4571
444	3661	4566
445	3669	4557
446	3681	4554
447	3701	4560
448	3726	4572
449	3738	4569
450	3753	4568
451	3763	4563
452	3791	4578
453	3804	4575
454	3818	4573
455	3830	4570
456	3843	4566
457	3860	4568
458	3872	4564
459	3885	4560
460	3897	4557
461	3911	4555
462	3928	4556
463	3940	4552
464	3953	4548
465	3966	4545
466	3979	4541
467	3992	4538
468	4004	4533
469	4013	4525
470	4022	4517
471	4032	4510
472	4041	4502
473	4052	4496
474	4062	4490
475	4073	4484
476	4081	4475
477	4090	4467
478	4099	4459
479	4107	4449
480	4116	4442
481	4125	4433
482	4137	4428
483	4150	4425
484	4160	4418
485	4170	4410
486	4184	4407
487	4196	4402
488	4208	4397
489	4217	4389
490	4227	4382
491	4237	4375
492	4245	4365
493	4252	4355
494	4259	4345
495	4269	4338
496	4280	4331
497	4290	4325
498	4299	4317
499	4308	4308
500	4318	4300
501	4327	4293
502	4336	4285
503	4347	4278
504	4357	4271
505	4365	4261
506	4375	4254
507	4384	4246
508	4396	4240
509	4407	4234
510	4420	4229
511	4432	4225
512	4443	4218
513	4454	4211
514	4462	4202
515	4472	4194
516	4481	4187
517	4491	4179
518	4501	4171
519	4510	4163
520	4523	4158
521	4533	4151
522	4546	4146
523	4556	4138
524	4564	4129
525	4573	4121
526	4583	4113
527	4592	4105
528	4600	4096
529	4611	4089
530	4620	4080
531	4628	4071
532	4641	4066
533	4649	4057
534	4658	4049
535	4668	4041
536	4677	4033
537	4689	4027
538	4699	4019
539	4708	4010
540	4718	4003
541	4730	3997
542	4739	3989
543	4747	3979
544	4755	3970
545	4765	3962
546	4777	3956
547	4784	3946
548	4793	3937
549	4802	3929
550	4809	3919
551	4816	3909
552	4823	3899
553	4830	3889
554	4838	3879
555	4846	3870
556	4853	3860
557	4860	3850
558	4868	3840
559	4876	3831
560	4883	3821
561	4890	3811
562	4897	3801
563	4906	3793
564	4913	3783
565	4924	3776
566	4933	3767
567	4941	3758
568	4949	3748
569	4957	3739
570	4964	3729
571	4971	3719
572	4978	3709
573	4985	3700
574	4992	3690
575	5000	3681
576	5007	3671
577	5013	3660
578	5020	3650
579	5028	3641
580	5036	3632
581	5043	3622
582	5050	3612
583	5058	3603
584	5066	3593
585	5072	3583
586	5080	3574
587	5087	3564
588	5094	3554
589	5101	3545
590	5108	3535
591	5116	3526
592	5123	3516
593	5130	3506
594	5137	3497
595	5145	3487
596	5152	3477
597	5160	3469
598	5168	3459
599	5175	3450
