iter	RMSE
137	4128.891569
138	4121.904362
139	4115.977715
140	4108.147134
141	4104.628948
142	4098.763698
143	4095.459873
144	4093.418539
145	4087.384052
146	4077.614777
147	4071.691078
148	4069.123282
149	4064.757797
150	4062.79803
151	4055.531169
152	4049.207803
153	4046.431314
154	4044.992245
155	4037.991968
156	4035.02214
157	4032.677523
158	4030.869617
159	4024.838821
160	4022.210167
161	4017.271048
162	4014.957497
163	4010.069199
164	4008.433677
165	4002.319006
166	4000.125418
167	3996.949682
168	3995.84605
169	3991.950255
170	3988.915465
171	3981.498359
172	3977.804318
173	3976.473714
174	3971.911643
175	3969.128377
176	3966.262683
177	3959.997958
178	3954.836251
179	3951.02537
180	3947.404795
181	3943.34387
182	3941.633047
183	3939.728027
184	3937.88347
185	3936.029249
186	3933.480978
187	3930.209033
188	3926.741679
189	3922.928201
190	3916.581923
191	3913.855786
192	3908.591543
193	3906.109439
194	3901.79152
195	3899.726652
196	3893.422692
197	3886.631648
198	3882.681155
199	3877.079032
200	3871.52788
201	3866.542921
202	3861.298894
203	3858.457878
204	3857.008073
205	3855.068288
206	3850.957312
207	3847.298371
208	3846.504656
209	3844.491386
210	3843.089708
211	3839.45879
212	3835.351631
213	3833.71689
214	3827.46591
215	3820.797382
216	3816.741601
217	3810.047954
218	3803.506276
219	3802.213084
220	3797.622546
221	3792.697783
222	3790.606158
223	3788.774296
224	3786.585274
225	3782.872193
226	3780.160398
227	3777.270365
228	3771.046174
229	3767.752499
230	3764.632114
231	3757.68244
232	3753.438925
233	3750.450785
234	3743.945809
235	3740.039666
236	3735.476244
237	3734.431942
238	3731.368342
239	3728.545902
240	3726.66031
241	3718.505155
242	3717.225824
243	3713.159057
244	3710.396338
245	3706.491162
246	3703.728215
247	3696.735662
248	3693.876339
249	3686.535437
250	3683.836768
251	3681.307052
252	3676.561732
253	3671.803702
254	3667.619799
255	3664.655109
256	3661.509152
257	3659.615672
258	3657.338742
259	3650.859155
260	3648.089061
261	3644.450483
262	3642.209937
263	3640.184142
264	3637.353922
265	3632.893295
266	3625.618785
267	3622.488617
268	3621.343214
269	3618.881001
270	3614.397079
271	3612.648549
272	3610.919962
273	3610.490842
274	3607.051059
275	3599.745967
276	3597.074273
277	3593.791657
278	3591.460333
279	3591.092151
280	3583.561192
281	3580.787423
282	3578.181022
283	3570.91464
284	3568.665308
285	3566.285185
286	3563.711517
287	3562.218739
288	3555.578548
289	3554.479314
290	3553.748121
291	3550.34819
292	3549.111958
293	3547.134118
294	3544.89125
295	3540.580339
296	3530.548257
297	3524.442661
298	3514.911037
299	3514.574102
300	3512.266311
301	3511.541335
302	3505.21657
303	3502.862509
304	3496.570472
305	3492.921241
306	3485.283488
307	3481.108328
308	3479.283092
309	3474.167157
310	3471.953499
311	3466.390831
312	3464.949197
313	3464.084375
314	3461.633721
315	3458.558315
316	3458.082199
317	3455.749217
318	3451.359774
319	3448.861811
320	3442.809085
321	3435.901065
322	3431.829798
323	3430.655813
324	3427.410628
325	3425.37419
326	3423.960287
327	3421.640988
328	3418.081034
329	3414.467761
330	3411.880242
331	3406.103148
332	3401.976712
333	3401.093079
334	3393.810817
335	3391.582277
336	3387.802919
337	3380.001356
338	3378.772764
339	3377.346186
340	3373.480569
341	3370.544732
342	3367.945814
343	3363.0528
344	3361.165932
345	3358.54306
346	3355.81277
347	3350.86524
348	3348.565928
349	3344.922117
350	3344.672285
351	3340.123905
352	3337.338659
353	3336.609242
354	3328.994085
355	3325.578113
356	3322.765014
357	3319.307896
358	3315.48859
359	3311.94745
360	3311.37309
361	3308.892725
362	3307.272355
363	3304.84467
364	3301.684854
365	3299.351417
366	3297.372631
367	3293.551684
368	3292.236501
369	3287.65549
370	3285.45617
371	3282.415011
372	3280.962632
373	3278.790729
374	3275.304621
375	3273.391167
376	3272.10045
377	3270.254854
378	3268.476936
379	3263.040678
380	3260.459621
381	3258.643984
382	3257.670554
383	3254.609994
384	3253.505257
385	3249.702872
386	3248.089538
387	3247.100585
388	3245.182057
389	3244.301517
390	3244.127048
391	3241.112207
392	3240.973588
393	3237.000518
394	3236.324762
395	3234.672197
396	3229.447409
397	3228.75967
398	3226.432306
399	3220.85794
400	3216.141798
401	3211.523931
402	3209.541282
403	3204.943196
404	3201.052554
405	3197.377066
406	3194.362584
407	3192.143261
408	3189.106026
409	3188.939363
410	3184.918936
411	3182.727588
412	3181.131601
413	3179.323858
414	3178.521576
415	3176.754782
416	3175.341688
417	3173.774041
418	3168.699954
419	3165.779898
420	3162.569109
421	3160.768087
422	3156.364746
423	3151.048144
424	3147.830737
425	3146.17377
426	3143.379463
427	3140.98643
428	3138.511661
429	3137.975514
430	3134.410059
431	3133.029649
432	3127.037901
433	3119.949015
434	3118.122318
435	3117.11539
436	3114.569385
437	3108.86849
438	3101.911369
439	3100.478695
440	3096.872574
441	3096.135855
442	3094.226999
443	3091.020772
444	3087.590522
445	3085.978023
446	3082.636156
447	3077.87531
448	3076.312798
449	3074.784944
450	3072.815939
451	3070.982125
452	3070.580795
453	3067.371277
454	3062.066017
455	3058.789066
456	3058.221699
457	3057.194455
458	3051.763649
459	3048.450494
460	3044.113283
461	3037.956536
462	3035.969262
463	3034.176489
464	3033.831288
465	3031.202478
466	3025.178944
467	3023.793808
468	3017.054021
469	3014.969595
470	3012.143512
471	3009.604312
472	3008.412341
473	3006.723767
474	3002.60824
475	2997.630589
476	2996.038787
477	2992.287011
478	2989.671646
479	2987.790619
480	2986.403174
481	2982.955661
482	2981.789714
483	2977.958543
484	2973.534014
485	2972.018245
486	2969.852576
487	2965.063071
488	2963.929531
489	2959.429546
490	2957.691107
491	2954.166755
492	2951.634508
493	2947.34047
494	2946.315203
495	2944.593081
496	2937.970366
497	2934.583878
498	2929.59407
499	2929.438292
500	2924.909699
501	2919.980174
502	2917.223647
503	2913.937207
504	2910.534595
505	2904.947181
506	2900.180609
507	2895.146385
508	2893.828616
509	2890.126013
510	2887.245696
511	2885.695718
512	2879.773319
513	2875.650289
514	2874.486129
515	2870.917491
516	2868.777433
517	2867.408662
518	2862.387831
519	2860.80452
520	2859.215351
521	2856.587857
522	2853.063609
523	2851.341692
524	2849.920862
525	2848.892144
526	2847.694974
527	2845.567437
528	2843.893778
529	2840.648665
530	2839.511516
531	2833.003435
532	2831.812182
533	2829.799965
534	2828.275622
535	2827.065217
536	2822.076587
537	2817.094029
538	2816.062635
539	2812.47169
540	2811.164053
541	2807.533874
542	2805.665827
543	2803.218744
544	2801.379583
545	2799.865034
546	2799.156708
547	2797.746556
548	2794.870987
549	2793.699654
550	2790.95691
551	2790.029957
552	2788.425335
553	2785.451347
554	2782.72625
555	2779.063379
556	2777.021349
557	2775.952261
558	2771.36502
559	2770.382952
560	2767.501079
561	2766.494998
562	2762.044532
563	2759.643745
564	2757.769706
565	2754.489246
566	2753.437129
567	2752.224142
568	2751.156145
569	2746.012998
570	2744.04104
571	2743.006904
572	2741.880345
573	2737.080111
574	2736.386228
575	2735.378176
576	2734.622081
577	2733.706259
578	2732.807634
579	2729.638478
580	2727.17355
581	2726.148556
582	2723.769633
583	2718.882197
584	2716.939138
585	2715.24159
586	2712.939486
587	2711.043586
588	2707.26707
589	2705.102728
590	2704.051359
591	2701.777633
592	2700.483135
593	2696.957851
594	2692.314221
595	2691.726692
596	2690.772362
597	2688.97163
598	2687.790588
599	2684.062781
600	2681.213925
601	2680.562367
602	2678.173031
603	2676.445315
604	2674.894136
605	2673.721197
606	2672.664307
607	2668.359793
608	2667.514534
609	2666.577469
610	2665.024372
611	2662.515277
612	2659.906809
613	2657.844667
614	2655.806792
615	2654.100994
616	2651.893223
617	2648.592334
618	2646.907879
619	2644.791175
620	2642.756309
621	2640.870827
622	2639.469283
623	2637.373314
624	2635.587136
625	2630.858702
626	2628.12758
627	2626.857412
628	2625.12698
629	2623.947688
630	2622.805648
631	2621.407437
632	2618.385611
633	2615.122245
634	2613.389186
635	2610.950019
636	2607.936089
637	2605.676206
638	2602.563357
639	2600.499826
640	2598.854923
641	2596.955651
642	2595.422899
643	2594.186573
644	2592.714727
645	2591.135011
646	2590.136678
647	2590.021223
648	2588.700726
649	2586.574845
650	2585.498168
651	2584.035385
652	2582.142526
653	2580.319365
654	2576.447642
655	2574.769436
656	2572.558757
657	2571.035128
658	2568.124689
659	2565.436978
660	2563.543054
661	2562.266707
662	2560.273062
663	2558.888664
664	2557.077276
665	2556.244044
666	2554.292875
667	2550.128319
668	2549.008897
669	2547.58378
670	2544.689445
671	2541.936854
672	2537.281771
673	2536.326814
674	2531.68928
675	2529.237366
676	2528.4003
677	2525.596484
678	2523.687189
679	2522.077163
680	2520.411657
681	2519.071899
682	2517.344077
683	2514.621628
684	2510.734891
685	2507.731008
686	2506.452768
687	2505.236993
688	2499.317157
689	2497.862402
690	2496.45838
691	2493.322467
692	2490.829921
693	2486.623739
694	2485.16389
695	2483.328939
696	2479.199587
697	2476.895029
698	2474.785804
699	2472.548388
700	2467.972075
701	2466.434989
702	2464.197702
703	2462.006212
704	2460.34798
705	2459.491673
706	2458.807703
707	2457.049067
708	2452.998929
709	2450.090412
710	2448.922758
711	2444.95772
712	2443.590475
713	2439.965485
714	2439.21306
715	2437.13724
716	2433.886664
717	2432.229544
718	2430.809172
719	2430.028178
720	2427.905963
721	2427.172874
722	2425.901573
723	2425.214033
724	2422.434193
725	2421.761874
726	2417.694464
727	2416.51975
728	2415.994684
729	2413.714871
730	2410.549883
731	2408.466249
732	2407.406563
733	2406.863023
734	2403.010731
735	2401.05558
736	2397.963524
737	2397.093926
738	2393.461614
739	2389.160941
740	2388.050975
741	2387.642105
742	2383.891604
743	2382.473
744	2381.875184
745	2380.899076
746	2379.451466
747	2377.853715
748	2377.540251
749	2375.26348
750	2374.810066
751	2372.62109
752	2371.013638
753	2367.790817
754	2364.546055
755	2363.495587
756	2360.063895
757	2357.179719
758	2355.928602
759	2354.436367
760	2352.450052
761	2351.830279
762	2350.187359
763	2348.822865
764	2346.279845
765	2343.62429
766	2342.557104
767	2341.494719
768	2339.417943
769	2337.71981
770	2336.187422
771	2334.000117
772	2330.320388
773	2328.925209
774	2327.838326
775	2326.754132
776	2326.273893
777	2324.468836
778	2321.758199
779	2320.411818
780	2318.157364
781	2317.244638
782	2315.284431
783	2312.832861
784	2311.340795
785	2309.704848
786	2308.121215
787	2305.818356
788	2304.249195
789	2302.431716
790	2301.845843
791	2301.542555
792	2300.240117
793	2299.359315
794	2297.255342
795	2294.995223
796	2294.036287
797	2293.246034
798	2292.228869
799	2292.056407
800	2289.219911
801	2288.35134
802	2286.182302
803	2284.735679
804	2281.364702
805	2279.182885
806	2278.309089
807	2277.352324
808	2275.495094
809	2274.758179
810	2273.922198
811	2270.951519
812	2270.080224
813	2268.829019
814	2266.535414
815	2264.376453
816	2262.188946
817	2261.14871
818	2260.734929
819	2259.052101
820	2258.705067
821	2257.419319
822	2255.85334
823	2254.022934
824	2251.416362
825	2250.013297
826	2246.296215
827	2244.465666
828	2243.143466
829	2241.413923
830	2240.602568
831	2237.504041
832	2236.047438
833	2235.518031
834	2235.164359
835	2233.290243
836	2232.900478
837	2231.890714
838	2229.823362
839	2228.614276
840	2227.732933
841	2225.623826
842	2223.334421
843	2220.5026
844	2219.117125
845	2216.340743
846	2215.219435
847	2213.774443
848	2211.991504
849	2211.34831
850	2210.569623
851	2210.006715
852	2209.54341
853	2207.571381
854	2206.982545
855	2205.245723
856	2204.04942
857	2203.863945
858	2203.325524
859	2201.156484
860	2199.572702
861	2197.930952
862	2196.210287
863	2195.679567
864	2194.873436
865	2194.294366
866	2193.585155
867	2192.825724
868	2190.337969
869	2188.356951
870	2186.434493
871	2183.123224
872	2181.666575
873	2179.471661
874	2176.47804
875	2175.918667
876	2174.476799
877	2174.396738
878	2173.263396
879	2172.559859
880	2172.0182
881	2170.117898
882	2167.42705
883	2165.342057
884	2162.367776
885	2160.468972
886	2159.317731
887	2157.175543
888	2154.638007
889	2153.871007
890	2153.279851
891	2151.288853
892	2149.866457
893	2147.693375
894	2147.519665
895	2144.722674
896	2144.413715
897	2143.017075
898	2141.740169
899	2141.170186
900	2139.636553
901	2138.621569
902	2137.063719
903	2136.286386
904	2134.589575
905	2133.17791
906	2130.376821
907	2128.436166
908	2128.218047
909	2127.678786
910	2127.273553
911	2126.242074
912	2125.4839
913	2124.602282
914	2122.705751
915	2121.818704
916	2120.798135
917	2120.615498
918	2119.059805
919	2116.815155
920	2114.860808
921	2113.837784
922	2112.778258
923	2111.288954
924	2111.13638
925	2108.047695
926	2106.17759
927	2105.413552
928	2104.895962
929	2103.870201
930	2103.044987
931	2101.303015
932	2099.442112
933	2098.076663
934	2096.321863
935	2094.221722
936	2093.629963
937	2093.466792
938	2091.64907
939	2090.951962
940	2089.134627
941	2088.898094
942	2088.707258
943	2084.138354
944	2082.869064
945	2081.171487
946	2079.86804
947	2078.824349
948	2077.687787
949	2075.600098
950	2074.607526
951	2074.176187
952	2074.033147
953	2072.819062
954	2071.291332
955	2070.267317
956	2066.298858
957	2065.328208
958	2063.791807
959	2062.069014
960	2061.68542
961	2059.974515
962	2059.016702
963	2058.88866
964	2057.172307
965	2055.174504
966	2054.16702
967	2053.555975
968	2052.055096
969	2050.680514
970	2050.272142
971	2048.925951
972	2047.072422
973	2043.731295
974	2042.785288
975	2042.250248
976	2040.485694
977	2039.726249
978	2038.566312
979	2037.088613
980	2036.114286
981	2034.900073
982	2033.178716
983	2032.72052
984	2030.951212
985	2030.831566
986	2029.781326
987	2029.231732
988	2027.3265
989	2024.681149
990	2024.398058
991	2024.076149
992	2023.135381
993	2021.928088
994	2021.839973
995	2017.451507
996	2016.624458
997	2014.957523
998	2014.175193
999	2012.526218
